hotel_name,rating_and_delivery_time,food_type,location,offer
Maratha Darbar,4.1 • 44 mins,"North Indian, Chinese, Biryani, Indian, Tandoor, Mughlai, Thai, Continental",Malad East, 40% OFF UPTO ₹200
Foodie Panda,46 mins,"Chinese, Burgers, Fast Food, Snacks, Beverages",Dahisar, 
Hot and spicy,4.2 • 42 mins,"Chinese, Indian",Dahisar East, 
Bistro & Brew,5 • 42 mins,"Italian-American, Fast Food, Snacks, Beverages",Kandivali East, 30% OFF UPTO ₹75
Tude - Premium Ice Creams,4 • 35 mins,"Desserts, Beverages",Kandivali West, 
Saarathi Restaurant And Bar,3.3 • 36 mins,"Tandoor, Chinese, North Indian, Fast Food",Malad Kan East, 20% OFF UPTO ₹100
Ambika Vijay Stores,34 mins,Sweets,Dahisar, 
Evening Smackers,35 mins,"Fast Food, Pizzas, Snacks",Borivali, 
Oh Indian,34 mins,"Kebabs, Indian",Kandivali West, 
Avantika Chennai Cafe,35 mins,"South Indian, Beverages",Borivali, 
"Deepak Sweets, Farsan & Dry Fruits",37 mins,"Desserts, Snacks",Borivali, 
Chatisfied,2.3 • 35 mins,"Snacks, Street Food, Beverages",Borivali, 
Bangg On Bakes,35 mins,"Bakery, Cakes and Pastries, Desserts",Malad Kan West, 25% OFF ABOVE ₹500
Khaugalli bahuballi,35 mins,South Indian,Malad Kan West, 
Mumbai Chinese Point,3.3 • 36 mins,Chinese,Kandivali East, 20% OFF ABOVE ₹159
The Royal Surprise,38 mins,Bakery,Malad Kan East, 
Asha Restaurant  Chaitanya Restaurant,3.7 • 36 mins,"Indian, Tandoor, Seafood",BORIVALI, 
Lal Tadka,3.5 • 36 mins,"North Indian, Asian, Italian, Beverages",Mahavir Nagar, 
Anand dairy farm,4 • 36 mins,"Snacks, Desserts",Borivali, 
Thaliwaala,34 mins,"Indian, Thalis, Snacks",Malad Kan East, 
Geebees Appetites,4 • 34 mins,"North Indian, Chinese, Tibetan",Kandivali East, 
Roti and Grill Catering,34 mins,Indian,Malad Kan East, 20% OFF UPTO ₹50
Aaurum Family Restaurant And Bar,4 • 34 mins,"North Indian, Tandoor, Chinese, Snacks",Borivali, 
Shawarma Shark,35 mins,"Chinese, Indian, Pizzas, Burgers",Malad Kan West, 
Half Plate Chinese,3.8 • 34 mins,"Chinese, Street Food",Borivali, 
Bitchy Burgers,34 mins,"American, Snacks",Kandivali West, 
The Heavens Cake Shop,4.1 • 39 mins,Bakery,Malad Kan East, 
Shital's Kitchen,34 mins,"Fast Food, Thalis",Borivali, 
B K C Kitchen,3.4 • 34 mins,"Indian, Chinese",Borivali, 
Manoj dosa,2.3 • 36 mins,South Indian,Borivali, 
Bytes Momos,35 mins,Chinese,Borivali, 
S.V. Kitchen,39 mins,North Indian,Malad kan east, 
JAYASHREE MISAL & SNACKS (JMS),34 mins,"Indian, Snacks",Kandivali West, 
Krem Icecreams,34 mins,Ice Cream,Borivali, ₹125 OFF ABOVE ₹249
Tummy Time,35 mins,Indian,Borivali, 
Cheese leela,36 mins,"Fast Food, Burgers, Pizzas, Snacks, Salads",Borivali, 10% OFF ABOVE ₹350
Flavour stones,4.6 • 31 mins,Ice Cream,Borivali West, 
Best Canteen,32 mins,Indian,Borivali, 
Chow By Mexichino,3.8 • 32 mins,Chinese,Borivali, 
Fusion Ice Cream House,4.9 • 29 mins,"Bakery, Desserts, Ice Cream",Kandivali West, ₹100 OFF ABOVE ₹999
Finom Cake Stop,3.4 • 31 mins,Bakery,Borivali, 15% OFF ABOVE ₹1000
Hirral Z Sweet Treats9,32 mins,"Bakery, Desserts",Borivali, 
High on Cafe,41 mins,"Indian, Juices, Beverages",Malad Kan East, 
Bombay Bytes,3.9 • 41 mins,Indian,Borivali West, 
Brishti chinese and lunch home,3.1 • 40 mins,Indian,Kandivali East, 
Panchayat - The Kulhad Cafe,4.4 • 40 mins,"Indian, Italian, Beverages",Borivali West, 
Chowrangee Cafe,4.3 • 41 mins,"Chinese, Bengali, Fast Food",Malad Kan East, 10% OFF UPTO ₹40
Fast Food Carnival,41 mins,"Pizzas, Beverages, Burgers, Pastas, Barbecue",Malad Kan East, 
Ignite Pan Shop And General Store,4.4 • 42 mins,Paan,Borivali, 20% OFF UPTO ₹120
Jai Ambe Fast Food,53 mins,"Fast Food, Pizzas, Waffle, Snacks, Beverages",Borivali, 
MMD Cafe Village,26 mins,"Beverages, Pizzas, Fast Food, Chinese, Italian",Malad Kan East, 
Khao piyo junction,25 mins,"Chinese, Indian, Malwani, Biryani",Malad Kan East, 
Flavour Fushion,27 mins,Burgers,Malad Kan East, 40% OFF ABOVE ₹159
The Bun Bites,29 mins,"Bakery, Desserts",Malad Kan West, 20% OFF UPTO ₹120
Mumbai Cake Company,23 mins,"Bakery, Desserts",Malad Kan East, ₹100 OFF ABOVE ₹999
Mahakal Matka Kulfi,25 mins,Beverages,Malad Kan West, 
THALIVERY FOOD,26 mins,"Indian, Snacks, Fast Food",Malad Kan East, 
Baithak - Taste of Kulhad,31 mins,"Beverages, Italian-American, Fast Food, Chinese, Snacks","Thakur Village, Kandivali (East)", 
Biryani Daawat,4.1 • 30 mins,"Biryani, Beverages, Indian",Malad Kan East, 50% OFF UPTO ₹100
Rocky Rolls Cafe,4.2 • 24 mins,"Fast Food, Snacks",Malad Kan East, 
Starwar Pizza,4.4 • 26 mins,"Chinese, Italian, Burgers, Pizzas, Desserts, Pastas",Malad Kan East, 50% OFF UPTO ₹100
Reena's Parathas,26 mins,"Indian, Italian",Malad Kan East, 30% OFF UPTO ₹150
Delicious Cake Shop,28 mins,"Bakery, Desserts",Malad Kan East, 10% OFF UPTO ₹40
Madhurika's Kitchen,3.5 • 27 mins,"North Indian, South Indian, Snacks, Beverages",Malad Kan East, ₹250 OFF ABOVE ₹999
Veg Pizza-2X Topping,26 mins,Indian,Malad Kan East, 50% OFF UPTO ₹100
Tuk Tuk,25 mins,"Chinese, Fast Food",Malad Kan East, 
Foodys guys,26 mins,"Indian, Chinese, Mughlai, Tandoor, Arabian, Biryani",Malad Kan East, 
MOGO Pizza,4.4 • 24 mins,"Pizzas, Burgers, Chinese, Desserts, Pastas, Italian",Kandivali East, 50% OFF UPTO ₹100
Oven Bake Pizza,24 mins,Pizzas,Malad Kan East, 50% OFF UPTO ₹100
Hotel Sheetal Picnic,2.8 • 27 mins,"North Indian, Thalis, Biryani",Borivali East, 
Baskin Robbins Food Court,25 mins,Ice Cream,Malad Kan East, 
Om Sai Sandwich Corner,4.5 • 26 mins,"Fast Food, Pizzas",Malad Kan East, 
Quenchers By Uk,24 mins,"Bakery, Desserts, Indian",Malad Kan East, 
Maa Sita Rasoi,25 mins,Indian,Malad Kan East, 
All Seasons Kitchen and Bar,3.9 • 30 mins,"North Indian, Chinese, Biryani, Tandoor, Thai, Chaat, Indian, Desserts",Borivali, 
Meethi Elaichi,5 • 25 mins,"Desserts, Sweets, Beverages",Malad Kan East, 30% OFF UPTO ₹150
Nityanand Chinese,30 mins,"Indian, Chinese",Malad Kan East, 
Green Dot Momos,36 mins,"Asian, Tibetan, Desserts, Beverages",Borivali, ₹125 OFF ABOVE ₹249
Happy Da Paratha,2.7 • 41 mins,Indian,Rawal Pada, 
Purple Foods,4.2 • 49 mins,"Indian, Tandoor, Biryani, Desserts, Beverages",Malad East, ₹100 OFF ABOVE ₹599
Masterchef Kitchen,3.5 • 44 mins,"Chinese, Asian, Thai",Malad Kan East, 30% OFF UPTO ₹150
Flavours Of Biryani,3.4 • 49 mins,"Biryani, Tandoor, Kebabs",Malad Kan West, 
Egg Free Cakes,49 mins,"Bakery, Desserts",Mira Road, 
Celebration Special by CakeZone,3.7 • 41 mins,"Bakery, Desserts",L T Road Junction, ₹175 OFF ABOVE ₹699
Spicy Chicken,53 mins,North Indian,Malad Kan West, 
The J's Pizza,41 mins,"Pizzas, Pastas",Rawal Pada, 
Fud Boy,51 mins,"Biryani, Indian, Kebabs, Beverages",Malad Kan West, 30% OFF UPTO ₹150
Momoya,41 mins,Chinese,Rawal Pada, 
Wandercrust,3.9 • 49 mins,"Pizzas, Italian",Goregaon East, 25% OFF UPTO ₹120
Swaad Snacks and Namkeen,4.4 • 37 mins,Indian,Borivali, 
Lucky chinese center,39 mins,Chinese,Dahisar, 
Das Chilly Chinese,39 mins,Chinese,Dahisar, 
Raja Vada Pav Goregaon Wala,3.9 • 37 mins,"Snacks, Fast Food",Borivali, 
Sandy's Thick Shake,2.4 • 37 mins,"Desserts, Beverages",Borivali, 
hotel shri krishna,37 mins,"South Indian, North Indian, Chinese, Beverages, Snacks",Borivali, 
Hem-The Cake Shop,3.6 • 39 mins,Desserts,Kandivali West, 
Zero Gravity ( Boriwali ),2.6 • 39 mins,Indian,Borivali, 
The Pastelworks Co. Malad,3.9 • 38 mins,Bakery,Malad East, 30% OFF UPTO ₹150
Kulchizza Factory,37 mins,"North Indian, Chinese, Fast Food",Borivali, 
GURU KRUPA JUICE CENTER,38 mins,"Beverages, Juices",Borivali, 
Indocafe,2.8 • 37 mins,"Continental, Mexican, Italian, Desserts, Beverages",Borivali, 
Cafe Bahar Restaurant,3.8 • 38 mins,"Biryani, Arabian, Chinese, North Indian",Malad Kan East, 
The Pavilion Bar And Resturant,4.1 • 39 mins,"North Indian, Biryani, Seafood, Chinese, Tandoor, Kebabs",ajanta shoping center, 
Twist and Taste,39 mins,"Chinese, Snacks",Borivali, 
My Choice Franky House,3.7 • 39 mins,Fast Food,Malad Kan West, 
The Chocolate Chips,4.4 • 34 mins,Indian,Borivali, 
Saucy Pasta Cartel,37 mins,Pastas,Borivali, 
Momos 8849,37 mins,Fast Food,Borivali, 
Veg Curries Of India,4.5 • 37 mins,"North Indian, Chinese, Street Food, Mughlai, Tandoor, Kebabs, Punjabi, Biryani, Snacks",Borivali, 
Chef De Partie,34 mins,"Bakery, Beverages, Desserts",Dahisar, 
Bolbol Burgers,4.2 • 39 mins,"Indian, Snacks, North Indian",Borivali West, 
Buns & Deluchas,34 mins,"Bakery, Desserts",Borivali, 
BHURAJI SANDWICH,38 mins,"Fast Food, Snacks",Malad Kan West, 
Hidden Spot Cafe & Resto,39 mins,Pizzas,Borivali, 
Thick Shakes Magic- CAD B,37 mins,Indian,Dahisar, 30% OFF UPTO ₹150
Ekdum Biryani,3.9 • 39 mins,"Biryani, North Indian, Mughlai, Tandoor, Kebabs",Kandivali West, 20% OFF ABOVE ₹700
Chaap Central by Punjabi Grill Dhaba,3.6 • 38 mins,Indian,Malad Kan West, 
Vicky Chinese,37 mins,Chinese,Dahisar, 
Kokan Chinese Corner,36 mins,"Chinese, Snacks",Malad Kan West, 
Noor Chinese and tandoor,38 mins,Chinese,Borivali, 
Shree Samarth Malvani Food'S,38 mins,"North Indian, Indian",Borivali, 
Chavishtha Ventures Llp,4.1 • 38 mins,"Indian, Seafood, Snacks",Dahisar, 
D Sandwicha & snakes corner,37 mins,"Italian, Pizzas, Snacks",Dahisar, 
Kulfi Bite,34 mins,Indian,Malad Kan West, 
Gladmad Pizza,4 • 39 mins,"Italian-American, Pizzas, Beverages",Borivali, 
The Elegant Spatula-Creative Cakes n Cookies,39 mins,Bakery,Borivali, 
Navkar Mart,38 mins,"Snacks, Gujarati",Kandivali west, ₹100 OFF ABOVE ₹749
Kings Corner,3.4 • 38 mins,Chinese,Dahisar East, 
Miss U Cake N Bake,38 mins,"Bakery, Jain",Malad Kan East, 
Radha Krishna Pav Bhaji,37 mins,Indian,Borivali, 
Shree Mahalaxmi Fast Food & Juice Center,36 mins,"Chaat, Fast Food",Borivali, 
Gobble Up,38 mins,"Fast Food, Snacks, Chinese",Borivali, 
Shakeoty,3.9 • 37 mins,Beverages,Borivali West, ₹100 OFF ABOVE ₹999
Samarth Krupa Chinese Corner Tifin Service,39 mins,"North Indian, Chinese",Dahisar, 
The Yellow Tadka,38 mins,"Indian, Chinese, Street Food, Thalis, Biryani, Tandoor",Borivali West, 
Sainath Hotel,2.8 • 39 mins,"Chinese, North Indian, South Indian",Dahisar, 
The Indian Gourmet Kitchen,4.7 • 39 mins,"Indian, Mughlai",Malad Kan East, 50% OFF UPTO ₹100
Tea Pea Cafe Borivali(W),4.5 • 55 mins,"Indian, Fast Food, Italian-American, Snacks, Waffle",Borivali West, 
Aromas Bingee,4.3 • 44 mins,"South Indian, Chinese, Fast Food",LOKMANYA LIBRARY, ₹125 OFF ABOVE ₹999
ShreeG,3.3 • 45 mins,Chinese,Dahisar, 
Delicious Chinese Cuisine,2.1 • 40 mins,Chinese,Dahisar, 
Gupta Juice And Sandwich,44 mins,"Juices, Fast Food, Beverages, Snacks, Pastas",Borivali, 
Ice Cream Cake Factory,3.7 • 47 mins,Ice Cream Cakes,Malad West, ₹100 OFF ABOVE ₹999
Italiiano,47 mins,"Pizzas, Mexican, Italian, Pastas, Burgers",Jog Gor East, 
Le Quatre,3.2 • 51 mins,"Desserts, Bakery, Snacks",anupama anand nagar, 
Ami Ice-Cream,45 mins,Desserts,Malad Kan West, 
Eat Cake Love,40 mins,Bakery,Malad Kan West, 
Sai Rameshwar,40 mins,Chinese,Borivali, 
Jodhana Zaika,46 mins,"Chinese, Indian, Beverages",Borivali, 
Shree Krishna Family Restaurant & Bar,46 mins,"Indian, Chinese, Biryani",Dahisar East, 
Hunger's Food,2.8 • 40 mins,Chinese,Borivali, 
Billy's Burgers,4.4 • 51 mins,"Fast Food, Desserts, Beverages",Malad West, 
Ambrosia Cakes Bakes and Snacks,3.9 • 43 mins,"Bakery, Snacks, Desserts, Continental",Kandivali West, 20% OFF ABOVE ₹800
Aarti'S Food Magic,48 mins,"Indian, Biryani, Beverages",CSR COMPLEX BUILDING NO 14 FLAT NO 201, 
Sv Food Hub,3.9 • 42 mins,"Pizzas, Desserts",Malad East, 
Momo Dynasty,45 mins,Chinese,Borivali, 
Quest,4.4 • 41 mins,"North Indian, Chinese, Continental, Oriental, Desserts",Borivali, 
Nutrii Chef,3.6 • 47 mins,"Salads, Healthy Food",Malad Kan West, 25% OFF UPTO ₹125
Fresh Rasoi,57 mins,"Indian, Chinese, Beverages, Desserts, Biryani",Malad Kan West, 
Chinese & Momos Express,4.5 • 49 mins,"Chinese, Combo",Malad Kan East, 40% OFF UPTO ₹200
Borivali Healthy Juices,53 mins,"Juices, Beverages, Fast Food, Snacks, Pastas",Borivali, 
Me Chinese!,59 mins,"Chinese, Thai, Arabian",Malad East, 40% OFF UPTO ₹200
Ram'S Radhe Krishna Cafe,52 mins,South Indian,Malad Kan West, 
Umesh sandwich,40 mins,Fast Food,Borivali, 
Svvad Kitchen,40 mins,"Chinese, Pastas, Snacks",Borivali, 
Chinese Walla,43 mins,Indian,Borivali, 
Mozzarella Pizza Hub,4 • 44 mins,"Pizzas, Snacks, Italian",Malad East, 
Sai Jee Amruttulya & Snacks,52 mins,Chinese,Malad Kan West, 20% OFF UPTO ₹120
Festive The Cake Shop,4.1 • 43 mins,Desserts,Malad East, 
Sai Darbar Hotel,47 mins,"Chinese, Indian, Biryani",Dahisar, 
Big Bro'S Pizza,43 mins,"Pizzas, Burgers, Chinese, Snacks",Malad Kan East, 
The Waffle Box,4 • 70 mins,Waffle,Malad Kan West, ₹250 OFF ABOVE ₹999
Bakewills Boulangerie And Cafe,45 mins,"Fast Food, Chinese, Burgers",Borivali east, 
Gopi Breakfast Point,43 mins,"Chinese, Beverages, Bakery",Borivali, 20% OFF ABOVE ₹700
Warm Baker s World,44 mins,Bakery,Borivali West, 
Secret Multicuisine Restaurant,3.6 • 47 mins,"North Indian, Chinese, Biryani, Mughlai, Punjabi, Seafood, Beverages",Mira Road, 
P Hand Coffee,46 mins,"Beverages, Pizzas, South Indian",Malad Kan West, 
Hunger Tea Cafe,46 mins,"Beverages, Snacks, Fast Food, Pizzas, Desserts",Borivali, 
Raccoon kitchen,4.9 • 48 mins,"North Indian, Indian, Biryani",Malad Kan East, 
Red yellow restaurant,55 mins,"North Indian, Chinese, Biryani",Jog Gor East, 
Mahesh Fine Dine,3.5 • 45 mins,"Indian, Fast Food",Borivali, 
Fizzy,4.2 • 43 mins,"Snacks, Beverages",Borivali, 
Western Burger,51 mins,"Chinese, Burgers, Pizzas",Malad Kan West, 
J3Pizzaa,3.8 • 54 mins,"Italian, Pizzas",Jog Gor East, 
Miami Waffles & Jawbreakers,4 • 48 mins,"Waffle, Desserts, Beverages",Malad West, ₹175 OFF ABOVE ₹449
Chaat Pat Snackks,5 • 43 mins,"Snacks, Fast Food, Chinese, Beverages",Malad Kan East, 
Fast Food And Beverage's,49 mins,"Beverages, Snacks, Pizzas, Fast Food",Malad Kan West, 
12th Pass Coffee And Tea,47 mins,"Beverages, Chinese, Burgers",Malad Kan West, 
Aranyam Fine Dine & Bar,63 mins,"North Indian, Chinese, Biryani",Goregaon East, ₹175 OFF ABOVE ₹449
Quick Kukkad,4.7 • 40 mins,"Snacks, Kebabs, Tandoor",Borivali, 20% OFF UPTO ₹100
Veganiza,5 • 45 mins,"Snacks, Pastas",Malad East, 
Rashmin Patisserie & Savory,40 mins,"Bakery, Desserts",Malad Kan East, 
Red Dots,2.9 • 55 mins,"North Indian, Chinese, Biryani",Jog Gor East, 
Tanisha Dry Fruits,52 mins,Indian,Malad Kan West, 
Cooper's Home Kitchen,51 mins,"Biryani, South Indian, Continental, Chinese",Malad Kan West, 
Cooper's Bakery,50 mins,"Bakery, Fast Food, Snacks",Malad Kan West, 
Steam 99,60 mins,"Chinese, Fast Food, Beverages",Jog Gor East, 
2? Cakes,52 mins,Bakery,Jog Gor East, 
Frosting the cake shop,42 mins,Bakery,Malad Kan East, 
Shree Krishnas Kitchen,42 mins,"North Indian, Indian",Dahisar, 15% OFF UPTO ₹100
Dim Shi,3.7 • 54 mins,"Asian, Chinese",Borivali, 
7 Layers,42 mins,Bakery,Malad Kan West, 
Dreams & Beans Coffee,49 mins,Beverages,Malad Kan West, 
Jain Dugdhaly,42 mins,"Bakery, Sweets",Malad Kan East, 
Chow Mi Adda Chinese And Momos Corner,51 mins,"Chinese, Thai, Asian",Malad Kan West, 
D'aromas Coffee,49 mins,Beverages,Malad West, ₹100 OFF ABOVE ₹499
Forks & Spoons,42 mins,"Pizzas, Chinese, Pastas, Beverages, Fast Food, Burgers",Malad Kan East, 
Vishal Chinese Corner,40 mins,Chinese,Malad Kan East, 
Dessert 99,44 mins,"Waffle, Desserts, Beverages",Borivali, 
Gosssip Corner - Cafe Resto,46 mins,Indian,Dahisar, 
Havmor Ice Cream Parlour,47 mins,Ice Cream,Borivali, 
The Spice Of Mumbai,3.3 • 63 mins,"North Indian, Chinese",Malad West, 
Brijwasi Mart,2.8 • 55 mins,"Waffle, Desserts, Snacks, Beverages",Mira Road, ₹150 OFF ABOVE ₹749
Caky Bakey,42 mins,Bakery,Borivali, ₹100 OFF ABOVE ₹499
Gully Dosa,3.9 • 51 mins,"South Indian, Street Food",Jog Gor West, 
Kadam Bandhu,41 mins,Fast Food,Dahisar, 
King Bhujing Biryani Corner,4.3 • 42 mins,"Biryani, North Indian",Borivali, 
Pizza Rride,4.1 • 44 mins,"Pizzas, Continental",Malad East, 
R.K Food Hub,4.5 • 43 mins,"Fast Food, Chinese, Snacks, Beverages",Borivali, 
Biryani And Spice,4.9 • 47 mins,"Biryani, Mughlai, North Indian",Malad Kan West, ₹100 OFF ABOVE ₹749
Quarter Castle Resto Bar,3.8 • 51 mins,"Continental, Chinese, Indian, Beverages",Malad West, 
Tandoor Tribes,3.1 • 40 mins,"Snacks, Tandoor",Borivali, 
Sunik Foodland,42 mins,"Desserts, Sweets, Snacks, Pizzas","Kandivali, Malad East", 
Biryani Flavours,3.7 • 46 mins,"Biryani, Snacks, Kebabs, Sweets",Malad Kan East, 
Vadapav And More,2.2 • 55 mins,"Indian, Snacks, Chaat, Juices, Desserts",Malad West, ₹75 OFF ABOVE ₹300
Exotic Baristo,47 mins,"Beverages, Pizzas, Fast Food, Snacks",Dahisar, 
Goregaon Kitchen,2.9 • 43 mins,"Chinese, Snacks, Arabian, Combo",Malad Kan East, 30% OFF UPTO ₹150
Ashley Kitchen,4.3 • 47 mins,"Indian, Chinese, Biryani",Malad Kan West, ₹200 OFF ABOVE ₹599
Maa Ashapura Food & Snacks,3.2 • 52 mins,"Indian, Snacks",Malad Kan West, 
Aum Fine Dine,3.6 • 48 mins,Indian,Kandivali West, 
Flavour Junction,3.8 • 44 mins,"Chinese, North Indian, Snacks",Dahisar, 
Swadisht Desi Food,46 mins,"Burgers, Chinese",Borivali, 
BONG MOYRA,3.3 • 43 mins,"Sweets, Bengali",Borivali, 
Spice Hut Veg And Non Veg,2.4 • 41 mins,"Chinese, North Indian, Biryani",Dahisar, 
Divine Chinese,4.3 • 48 mins,Chinese,Malad West, 
Asian Express,4 • 53 mins,"Chinese, Biryani",Jog Gor East, ₹150 OFF ABOVE ₹999
Cheesy Kulhad,52 mins,"Pizzas, Fast Food",Malad Kan West, 
DSF Fast Food,4.9 • 45 mins,"Pizzas, Pastas, Burgers, Fast Food, Snacks, Italian, American",Kandivali West, 
Jai Shree Radhe Krishna Soda Pub,3.8 • 42 mins,Beverages,Kandivali West, 
Tea Pea Cafe,45 mins,"Beverages, Italian-American, Fast Food, Snacks, Waffle",Malad Kan East, 
Uncle Chinese Corner,44 mins,"Indian, Fast Food",Malad Kan West, 
Flavorish The Gourmet Cake Shop,48 mins,Bakery,Goregaon East, 50% OFF UPTO ₹250
Peek and boo,52 mins,"Snacks, Fast Food",Malad Kan West, 
Delecious The Family Restaurant,41 mins,"Indian, Chinese", Malad West, 
Jaianti Biryani,3.7 • 57 mins,"Biryani, North Indian, Salads, Hyderabadi",Borivali, 30% OFF UPTO ₹150
Hunger bell,52 mins,"Snacks, Chinese, Tandoor, North Indian",Malad Kan West, 
Damdaar Swaad,4.3 • 49 mins,"Italian-American, Fast Food, Snacks, Indian",Jog Gor West, 
Secret Sauce Sandwiches,3.3 • 42 mins,"Pizzas, Snacks, Italian, Mexican",Borivali West, 
Chef Chini,52 mins,"Chinese, Fast Food, Desserts, Beverages",Malad Kan West, 
All About Cheese,5 • 50 mins,"Fast Food, Snacks, Pizzas",Malad Kan West, 10% OFF UPTO ₹100
Size Zero,40 mins,"Chinese, Burgers, Pizzas, Pastas, Fast Food",kandivali, 30% OFF UPTO ₹150
Adarsh Refreshment,43 mins,Beverages,Malad, 
Asian Tadka,3.4 • 55 mins,"Indian, Tandoor, Thai, Chinese",Goregaon, 
JUICE BUDDY,40 mins,Beverages,Borivali, 
Oh! Pizzaz,42 mins,"Beverages, Snacks",Malad Kan West, 
Dairy Naturals,53 mins,"Ice Cream, Desserts",Malad Kan West, 
High On Waffle,49 mins,"North Indian, Bakery",Malad Kan West, 
Faloodah By Purple Foods,2.5 • 46 mins,"Beverages, Desserts",Malad, 
The Noisy Cake,4.4 • 64 mins,Bakery,Jog Gor East, 
Bombay Shakers,50 mins,Beverages,Malad Kan West, 
Sliders Bell,4.4 • 42 mins,"Snacks, Beverages",Borivali West, 
Matoshree Chinese & Fast Food,4 • 61 mins,Chinese,Malad Kan West, 
Navaratna Kitchen & Bar,46 mins,"North Indian, Chinese, South Indian, Tandoor, Seafood",Borivali, 20% OFF ABOVE ₹700
Upperdeck Bistro,4.2 • 45 mins,"Beverages, Burgers, Pastas, Snacks",Malad Kan West, 10% OFF UPTO ₹100
Sweet Cakes & More,3 • 58 mins,"Bakery, Desserts",Malad West, ₹250 OFF ABOVE ₹999
Meenakshi Bar And Restaurant,43 mins,"Chinese, North Indian, Indian, Snacks",Jog Gor East, 
Bombar,4.8 • 56 mins,"Italian, Chinese, Tandoor",Jog Gor West, 
Malvani Masala,2.8 • 62 mins,"Indian, North Indian",Borivali, 20% OFF ABOVE ₹700
Ruchira's Food Hub,41 mins,"Chinese, American",Borivali, 
Neelam Garden,41 mins,"North Indian, Chinese, Biryani",Borivali, 
Angel Cake Shop,46 mins,Bakery,Malad Kan East, 
Mogazm,5 • 50 mins,"Snacks, Fast Food, Beverages",Malad Kan West, 50% OFF UPTO ₹250
Marvish Home Kitchen,48 mins,"Indian, North Indian",Jog Gor West, 
Munira's,44 mins,Desserts,Dahisar West, 
Shivani Chinese And Pizza Corner,3.4 • 54 mins,"Pizzas, Chinese, Fast Food",Malad Kan West, 
Raju Snacks,4.3 • 41 mins,"Beverages, Burgers, Ice Cream",Borivali, 
Balaji Express,49 mins,"South Indian, Beverages, Fast Food, Juices, Chaat",Jog Gor East, 
Conch Restaurants,57 mins,"Asian, Continental, Chinese",Malad West, 
Vishal's fast food hub,48 mins,Chinese,Jog Gor East, 
Shree's Frankie Rolls and More,46 mins,"Snacks, Pizzas",Borivali, 
BEING BAKERS SHOP,48 mins,Bakery,Mira Road, 
Zero Gravity,4.1 • 49 mins,"Chinese, Continental, Fast Food, Italian",Gandhi Nagar, 
Naashta sweets and more,3.2 • 49 mins,Indian,Jog Gor East, 10% OFF ABOVE ₹600
Kandivali 67 Chinese Corner,1.5 • 40 mins,"Chinese, Biryani",Borivali, 
3 Barmen,5 • 61 mins,"Chinese, North Indian",Malad West, 
Avarya,45 mins,"Snacks, Desserts, Beverages",Mahim Dadar, 
Gharchi Athwan,42 mins,"Maharashtrian, Snacks, Sweets",Borivali, 
BELLA FOOD CORNER,3.8 • 41 mins,"North Indian, Chinese, Tandoor, Biryani, Snacks",Dahisar (E) Mumbai, 
The Malai Paneer Company,4.8 • 54 mins,North Indian,Malad Kan West, 
Phelia Lounge,3.8 • 57 mins,"Chinese, Tandoor, Continental, Indian, Italian, Pizzas",Goregaon West, 
Shreeji Aamras,5 • 41 mins,Beverages,Dahisar, ₹100 OFF ABOVE ₹749
Hungry Paji,49 mins,"Chinese, Indian, Tandoor",Goregaon, 10% OFF UPTO ₹100
The Bagve's cafe,52 mins,Waffle,Jog Gor West, 
Beyond - Wine & Dine,4 • 56 mins,"Continental, Mexican, Salads, Chinese, North Indian",Malad West, 
THE MINISTRY OF CHEFS,52 mins,"North Indian, Chinese, Snacks, Fast Food, Desserts, Beverages, Biryani, Seafood, Indian, Tandoor",Malad Kan West, 
Namaste Mumbai,46 mins,"Chinese, Fast Food, Indian, Beverages",Malad Kan West, 
Party Time Pizzas,3.5 • 43 mins,"Pizzas, Fast Food, Bakery, Desserts",Raheja Township, 
Crispy Slice Pizza,4.1 • 53 mins,Pizzas,Goregaon, 
DBW De Burger World,50 mins,"Burgers, Pizzas, Fast Food, Snacks, Beverages",Mira Road, 
Swadam Bhog,4.6 • 48 mins,"Indian, North Indian, Chinese, Punjabi, Snacks, Biryani",Borivali West, 
Swadisht Desi,4.6 • 52 mins,"Burgers, Pizzas, Chinese, Beverages",Malad Kan West, ₹100 OFF ABOVE ₹999
Latte on the rocks,52 mins,"Beverages, Snacks, Fast Food",Malad West, 
Mondo Fine Dine,4.2 • 64 mins,"Italian, Indian",Dahisar West, 
Lobo Tiffin Service,47 mins,Indian,Malad Kan East, 
Red Chilly Chinese Cuisine,52 mins,Indian,Malad Kan West, 30% OFF UPTO ₹150
Tina's Fried Chicken,40 mins,"Indian, Chinese",Borivali, 
Om Namo Fast Food,5 • 42 mins,"Fast Food, Chaat",Borivali, 
Y.T kitchen,41 mins,"Italian, Snacks, Mexican",Malad Kan East, 
Potoba Chinese Corner,3.7 • 41 mins,"Chinese, Beverages",Dahisar, 
Jordan,4.7 • 41 mins,Chinese,Malad West, 
Kinara Tadka,44 mins,"Chinese, North Indian, Beverages",Borivali, 
Sarthak Restaurant,52 mins,"Indian, Chinese, Thalis, Biryani",Jog Gor East, 
Avva'S Food,44 mins,Chinese,Dahisar, 
FC Cafe,42 mins,"Italian, Fast Food, Beverages, Desserts",Malad Kan West, 
The Bombay House,3.7 • 48 mins,"North Indian, Snacks, Pizzas, Chinese",Dahisar, ₹150 OFF ABOVE ₹599
